name,description,address,category
두바이 가라오케,가라오케 (한인),"16 Mạc Thị Bưởi, P. Phú Thuận, Quận 1, Ho Chi Minh City, Vietnam",가라오케
오로라 가라오케,가라오케 (한인),"71 Đ. Lê Thị Hồng Gấm, Phường Nguyễn Thái Bình, Quận 1, Ho Chi Minh City, Vietnam",가라오케
썬 가라오케,가라오케 (한인),"44 Cao Triều Phát, Tân Phong, Quận 7, Ho Chi Minh City, Vietnam",가라오케
원투 가라오케 (탄탄실장),가라오케 (한인),"104 Đ. Ký Con, Phường Nguyễn Thái Bình, Quận 1, Ho Chi Minh City, Vietnam",가라오케
넘버원 가라오케,가라오케 (한인),"21 Thái Văn Lung, Bến Nghé, Quận 1, Ho Chi Minh City, Vietnam",가라오케
오딧세이 가라오케,가라오케 (한인),"13 Đ. Yersin, Phường Cầu Ông Lãnh, Quận 1, Ho Chi Minh City, Vietnam",가라오케
더원 가라오케 (The One),가라오케 (한인),"26B Đ. Nguyễn Thái Bình, Phường Nguyễn Thái Bình, Quận 1, Ho Chi Minh City, Vietnam",가라오케
102 가라오케,가라오케 (한인),"102 Đ. Lê Lai, Phường Phạm Ngũ Lão, Quận 1, Ho Chi Minh City, Vietnam",가라오케
로컬 1127 / 93,가라오케 (로컬),"1127 Đ. Trần Hưng Đạo, Phường 5, Quận 5, Ho Chi Minh City, Vietnam",가라오케
보스 가라오케,가라오케 (로컬),"27-29-31 Đ. số 9A, Bình Hưng, Bình Chánh, Ho Chi Minh City, Vietnam",가라오케
드래곤 K 가라오케,가라오케 (로컬),"466 Trần Hưng Đạo B, Phường 14, Quận 5, Ho Chi Minh City, Vietnam",가라오케
127 가라오케 (BB),가라오케 (로컬),"127 Đ. Nguyễn Thái Bình, Phường Nguyễn Thái Bình, Quận 1, Ho Chi Minh City, Vietnam",가라오케
두바이 마사지,불건마/마사지 (불건마),"41 Đ. Lê Thị Hồng Gấm, Quận 1, Ho Chi Minh City, Vietnam",불건마/마사지
두바이 마사지 2호점,불건마/마사지 (불건마),"1 Phạm Viết Chánh, Quận 1, Ho Chi Minh City, Vietnam",불건마/마사지
두바이 마사지 135,불건마/마사지 (불건마),"133-135 Đ. Calmette, Quận 1, Ho Chi Minh City, Vietnam",불건마/마사지
킹스톤 마사지,불건마/마사지 (불건마),"202 Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, Ho Chi Minh City, Vietnam",불건마/마사지
스타킹 마사지 (딸기 때밀이),불건마/마사지 (불건마),"105 Đ. Ký Con, Phường Nguyễn Thái Bình, Quận 1, Ho Chi Minh City, Vietnam",불건마/마사지
해피마사지,불건마/마사지 (불건마),"17 Đỗ Quang Đẩu, Quận 1, Ho Chi Minh City, Vietnam",불건마/마사지
슈퍼맨 마사지,불건마/마사지 (불건마),"71 Đ. D1, Tân Hưng, Quận 7, Ho Chi Minh City, Vietnam",불건마/마사지
ARI 스파,불건마/마사지 (불건마),"20A Đường Số 15, Tân Quy, Quận 7, Ho Chi Minh City, Vietnam",불건마/마사지
라임 마사지,불건마/마사지 (불건마),"312 Lê Văn Lương, Tân Quy, Quận 7, Ho Chi Minh City, Vietnam",불건마/마사지
체온스파 38.5,불건마/마사지 (불건마),"702 Huỳnh Tấn Phát, Tân Phú, Quận 7, Ho Chi Minh City, Vietnam",불건마/마사지
루나 마사지,불건마/마사지 (불건마),"24 Đ. Số 2, Tân Phong, Quận 7, Ho Chi Minh City, Vietnam",불건마/마사지
도도 스파,불건마/마사지 (불건마),"70 Đ. Calmette, Phường Nguyễn Thái Bình, Quận 1, Ho Chi Minh City, Vietnam",불건마/마사지
비엔동 마사지,불건마/마사지 (호텔 로컬),"275A Đ. Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Ho Chi Minh City, Vietnam",불건마/마사지
린체리 마사지,불건마/마사지 (호텔 로컬),"4D2 Thái Văn Lung, Bến Nghé, Quận 1, Ho Chi Minh City, Vietnam",불건마/마사지
풍투이 마사지,불건마/마사지 (호텔 로컬),"4 Đ. Số 2, Hiệp Bình Chánh, Thủ Đức, Ho Chi Minh City, Vietnam",불건마/마사지
민땀 마사지,불건마/마사지 (호텔 로컬),"206 Đ. 3 Tháng 2, Phường 12, Quận 10, Ho Chi Minh City, Vietnam",불건마/마사지
COSPLAY 스파,불건마/마사지 (반건마),"G19 Đường 3A Phường Tân Hưng, Quận 7, Ho Chi Minh City, Vietnam",불건마/마사지
모네 스파,불건마/마사지 (반건마),"71/17 Đ. Cô Bắc, Quận 1, Ho Chi Minh City, Vietnam",불건마/마사지
137 마사지,불건마/마사지 (건마),"147-149 Hàm Nghi, Quận 1, Ho Chi Minh City, Vietnam",불건마/마사지
코지 마사지,불건마/마사지 (건마),"79 Đ. Phan Khiêm Ích, Tân Phong, Quận 7, Ho Chi Minh City, Vietnam",불건마/마사지
미우미우 마사지,불건마/마사지 (건마),"04 Chu Mạnh Trinh, Quận 1, Ho Chi Minh City, Vietnam",불건마/마사지
아이돌바 (I DOL Bar),클럽/바 (한인),"15B/64 Lê Thánh Tôn, Bến Nghé, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
클래시바 (CLASSY),클럽/바 (한인),"8a/e7 Thai Van Lung, Ben Nghe, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
코코 클럽 (COCO Club),클럽/바 (한인),"103 Đ. Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
두껍포차,클럽/바 (한인),"19 Đ. Bùi Thị Xuân, Phường Phạm Ngũ Lão, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
웨어바 (Wear Bar),클럽/바 (한인),"50 Khu phố Hưng Gia 4, Tân Phong, Quận 7, Ho Chi Minh City, Vietnam",클럽/바
더 갱스 센트럴,클럽/바 (로컬),"87 Đ. Nguyễn Huệ, Bến Nghé, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
칠 스카이바 (Chill Bar),클럽/바 (루프탑),"AB Tower, 76A Đ. Lê Lai, Phường Bến Thành, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
자이온 라운지 (ZION),클럽/바 (루프탑),"87A Hàm Nghi, Phường Nguyễn Thái Bình, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
11:11 클럽,클럽/바 (로컬),"134 Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
롤라 (LOLLA),클럽/바 (로컬),"213 Đ. Calmette, Phường Nguyễn Thái Bình, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
폭폭 (Poc Poc),클럽/바 (로컬),"79a Nguyễn Đình Chiểu, Phường 6, Quận 3, Ho Chi Minh City, Vietnam",클럽/바
KHU13 (쿠13 클럽),클럽/바 (로컬),"175/22 Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
헤어 오브 더 독,클럽/바 (로컬),"194 Đ. Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
더원 (The WANN),클럽/바 (로컬),"51 Đ. Bùi Thị Xuân, Phường Phạm Ngũ Lão, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
밤밤 (BAM BAM),클럽/바 (로컬),"41-43 Đ. Nam Kỳ Khởi Nghĩa, Phường Nguyễn Thái Bình, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
디스트릭트 K (District K),클럽/바 (로컬),"30 Thủ Khoa Huân, Phường Bến Thành, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
카날리스 (Canalis),클럽/바 (로컬),"264 Đ. Nam Kỳ Khởi Nghĩa, Phường 8, Quận 3, Ho Chi Minh City, Vietnam",클럽/바
몽키 시샤 라운지,클럽/바 (라운지),"45 Đ. Trần Hưng Đạo, Phường Nguyễn Thái Bình, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
파함 라운지 (Faham),클럽/바 (라운지),"20 Đ. Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
쿠이 Qui 라운지,클럽/바 (라운지),"22 Đ. Lê Thánh Tôn, Bến Nghé, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
러쉬 클럽 (Lush),클럽/바 (클럽),"2 Lý Tự Trọng, Bến Nghé, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
아트모스 (ATMOS),클럽/바 (클럽),"153 Tôn Thất Đạm, Bến Nghé, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
로코 (LOCO COMPLEX),클럽/바 (클럽),"11 Đ. Nam Quốc Cang, Phường Phạm Ngũ Lão, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
미스 사이공,클럽/바 (클럽),"158 Đ. Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Ho Chi Minh City, Vietnam",클럽/바
배트맨2 이발소,이발소 (한인),"50A Đ. Trường Sơn, Phường 2, Tân Bình, Ho Chi Minh City, Vietnam",이발소
스타이발소 (STAR BARBERSHOP),이발소 (한인),"110 Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, Ho Chi Minh City, Vietnam",이발소
배트맨 이발소,이발소 (한인),"41 nội khu Hưng Gia 2, Tân Phong, Quận 7, Ho Chi Minh City, Vietnam",이발소
더 조선 (THE 조선),이발소 (한인),"11 Đ. Phan Khiêm Ích, Tân Phong, Quận 7, Ho Chi Minh City, Vietnam",이발소
금강식당,이발소 (한인),"915/9 Đường Lê Thị Kỉnh, Phước Kiển, Nhà Bè, TP.HCM, Vietnam",이발소
타오디엔 야시장,이발소 (로컬),"13-11 Xuân Thủy, Thảo Điền, Quận 2, Ho Chi Minh City, Vietnam",이발소
호티키 야시장,이발소 (로컬),"Đường Hồ Thị Kỷ, Phường 1, Quận 10, Ho Chi Minh City, Vietnam",이발소
